,item,prog_human,mant_human,prot_human,is_prototype,weight,Unnamed: 0,source,paraphrase_0,extract
14,"We will strengthen our partnerships with other countries to work together to prevent terrorism, promote peace and stability, and protect the environment.",0.5,0.6428571428571429,0.8571428571428571,,1.9302325581395348,105.0,AllTokensHumanScores2012.csv,"{   ""language"": ""English"",   ""paragraph"": ""We will also expand our networks of security cooperation with other emerging partners throughout the region to combat terrorism, counter proliferation, provide disaster relief, fight piracy, and ensure maritime security, including cooperation in the South China Sea."",   ""paraphrases"": [     ""We will strengthen our partnerships with other countries to work together to prevent terrorism, promote peace and stability, and protect the environment.""     ""We will work closely with our allies and partners to address the challenges of terrorism, proliferation, and piracy.""     ""We will collaborate with other countries to enhance our capacity to respond to natural disasters and other threats to maritime security.""     ""We will work together to promote transparency and cooperation in the fight against terrorism and other maritime security threats.""     ""We will work to build a more secure and prosperous future for all countries in the region.""   ] } ","We will strengthen our partnerships with other countries to work together to prevent terrorism, promote peace and stability, and protect the environment."
15,"We will work closely with our allies and partners to address the challenges of terrorism, proliferation, and piracy.",0.5,0.6428571428571429,0.8571428571428571,,1.9302325581395348,105.0,AllTokensHumanScores2012.csv,"{   ""language"": ""English"",   ""paragraph"": ""We will also expand our networks of security cooperation with other emerging partners throughout the region to combat terrorism, counter proliferation, provide disaster relief, fight piracy, and ensure maritime security, including cooperation in the South China Sea."",   ""paraphrases"": [     ""We will strengthen our partnerships with other countries to work together to prevent terrorism, promote peace and stability, and protect the environment.""     ""We will work closely with our allies and partners to address the challenges of terrorism, proliferation, and piracy.""     ""We will collaborate with other countries to enhance our capacity to respond to natural disasters and other threats to maritime security.""     ""We will work together to promote transparency and cooperation in the fight against terrorism and other maritime security threats.""     ""We will work to build a more secure and prosperous future for all countries in the region.""   ] } ","We will work closely with our allies and partners to address the challenges of terrorism, proliferation, and piracy."
16,We will collaborate with other countries to enhance our capacity to respond to natural disasters and other threats to maritime security.,0.5,0.6428571428571429,0.8571428571428571,,1.9302325581395348,105.0,AllTokensHumanScores2012.csv,"{   ""language"": ""English"",   ""paragraph"": ""We will also expand our networks of security cooperation with other emerging partners throughout the region to combat terrorism, counter proliferation, provide disaster relief, fight piracy, and ensure maritime security, including cooperation in the South China Sea."",   ""paraphrases"": [     ""We will strengthen our partnerships with other countries to work together to prevent terrorism, promote peace and stability, and protect the environment.""     ""We will work closely with our allies and partners to address the challenges of terrorism, proliferation, and piracy.""     ""We will collaborate with other countries to enhance our capacity to respond to natural disasters and other threats to maritime security.""     ""We will work together to promote transparency and cooperation in the fight against terrorism and other maritime security threats.""     ""We will work to build a more secure and prosperous future for all countries in the region.""   ] } ",We will collaborate with other countries to enhance our capacity to respond to natural disasters and other threats to maritime security.
17,We will work together to promote transparency and cooperation in the fight against terrorism and other maritime security threats.,0.5,0.6428571428571429,0.8571428571428571,,1.9302325581395348,105.0,AllTokensHumanScores2012.csv,"{   ""language"": ""English"",   ""paragraph"": ""We will also expand our networks of security cooperation with other emerging partners throughout the region to combat terrorism, counter proliferation, provide disaster relief, fight piracy, and ensure maritime security, including cooperation in the South China Sea."",   ""paraphrases"": [     ""We will strengthen our partnerships with other countries to work together to prevent terrorism, promote peace and stability, and protect the environment.""     ""We will work closely with our allies and partners to address the challenges of terrorism, proliferation, and piracy.""     ""We will collaborate with other countries to enhance our capacity to respond to natural disasters and other threats to maritime security.""     ""We will work together to promote transparency and cooperation in the fight against terrorism and other maritime security threats.""     ""We will work to build a more secure and prosperous future for all countries in the region.""   ] } ",We will work together to promote transparency and cooperation in the fight against terrorism and other maritime security threats.
18,We will work to build a more secure and prosperous future for all countries in the region.,0.5,0.6428571428571429,0.8571428571428571,,1.9302325581395348,105.0,AllTokensHumanScores2012.csv,"{   ""language"": ""English"",   ""paragraph"": ""We will also expand our networks of security cooperation with other emerging partners throughout the region to combat terrorism, counter proliferation, provide disaster relief, fight piracy, and ensure maritime security, including cooperation in the South China Sea."",   ""paraphrases"": [     ""We will strengthen our partnerships with other countries to work together to prevent terrorism, promote peace and stability, and protect the environment.""     ""We will work closely with our allies and partners to address the challenges of terrorism, proliferation, and piracy.""     ""We will collaborate with other countries to enhance our capacity to respond to natural disasters and other threats to maritime security.""     ""We will work together to promote transparency and cooperation in the fight against terrorism and other maritime security threats.""     ""We will work to build a more secure and prosperous future for all countries in the region.""   ] } ",We will work to build a more secure and prosperous future for all countries in the region.
19,We partnered with the private sector to facilitate the transfer of veterans' skills to the manufacturing industry.,1.0,0.4642857142857143,0.5,,1.9302325581395348,19.0,AllTokensHumanScores2012.csv,"{   ""language"": ""English"",   ""paraphrases"": [     ""We partnered with the private sector to facilitate the transfer of veterans' skills to the manufacturing industry."",     ""The collaboration between the government and the private sector aimed to bridge the skills gap between veterans and the manufacturing sector."",     ""We established a partnership between the government and the private sector to support veterans' career transitions into manufacturing."",     ""Veterans were partnered with the private sector to gain the necessary skills to succeed in the manufacturing industry."",     ""The government and the private sector collaborated to provide veterans with the support they needed to transition into skilled manufacturing workers.""   ] } ",We partnered with the private sector to facilitate the transfer of veterans' skills to the manufacturing industry.
20,The collaboration between the government and the private sector aimed to bridge the skills gap between veterans and the manufacturing sector.,1.0,0.4642857142857143,0.5,,1.9302325581395348,19.0,AllTokensHumanScores2012.csv,"{   ""language"": ""English"",   ""paraphrases"": [     ""We partnered with the private sector to facilitate the transfer of veterans' skills to the manufacturing industry."",     ""The collaboration between the government and the private sector aimed to bridge the skills gap between veterans and the manufacturing sector."",     ""We established a partnership between the government and the private sector to support veterans' career transitions into manufacturing."",     ""Veterans were partnered with the private sector to gain the necessary skills to succeed in the manufacturing industry."",     ""The government and the private sector collaborated to provide veterans with the support they needed to transition into skilled manufacturing workers.""   ] } ",The collaboration between the government and the private sector aimed to bridge the skills gap between veterans and the manufacturing sector.
21,We established a partnership between the government and the private sector to support veterans' career transitions into manufacturing.,1.0,0.4642857142857143,0.5,,1.9302325581395348,19.0,AllTokensHumanScores2012.csv,"{   ""language"": ""English"",   ""paraphrases"": [     ""We partnered with the private sector to facilitate the transfer of veterans' skills to the manufacturing industry."",     ""The collaboration between the government and the private sector aimed to bridge the skills gap between veterans and the manufacturing sector."",     ""We established a partnership between the government and the private sector to support veterans' career transitions into manufacturing."",     ""Veterans were partnered with the private sector to gain the necessary skills to succeed in the manufacturing industry."",     ""The government and the private sector collaborated to provide veterans with the support they needed to transition into skilled manufacturing workers.""   ] } ",We established a partnership between the government and the private sector to support veterans' career transitions into manufacturing.
22,Veterans were partnered with the private sector to gain the necessary skills to succeed in the manufacturing industry.,1.0,0.4642857142857143,0.5,,1.9302325581395348,19.0,AllTokensHumanScores2012.csv,"{   ""language"": ""English"",   ""paraphrases"": [     ""We partnered with the private sector to facilitate the transfer of veterans' skills to the manufacturing industry."",     ""The collaboration between the government and the private sector aimed to bridge the skills gap between veterans and the manufacturing sector."",     ""We established a partnership between the government and the private sector to support veterans' career transitions into manufacturing."",     ""Veterans were partnered with the private sector to gain the necessary skills to succeed in the manufacturing industry."",     ""The government and the private sector collaborated to provide veterans with the support they needed to transition into skilled manufacturing workers.""   ] } ",Veterans were partnered with the private sector to gain the necessary skills to succeed in the manufacturing industry.
23,The government and the private sector collaborated to provide veterans with the support they needed to transition into skilled manufacturing workers.,1.0,0.4642857142857143,0.5,,1.9302325581395348,19.0,AllTokensHumanScores2012.csv,"{   ""language"": ""English"",   ""paraphrases"": [     ""We partnered with the private sector to facilitate the transfer of veterans' skills to the manufacturing industry."",     ""The collaboration between the government and the private sector aimed to bridge the skills gap between veterans and the manufacturing sector."",     ""We established a partnership between the government and the private sector to support veterans' career transitions into manufacturing."",     ""Veterans were partnered with the private sector to gain the necessary skills to succeed in the manufacturing industry."",     ""The government and the private sector collaborated to provide veterans with the support they needed to transition into skilled manufacturing workers.""   ] } ",The government and the private sector collaborated to provide veterans with the support they needed to transition into skilled manufacturing workers.
24,We prioritize the stability and security of our long-standing alliances in Europe and Asia.,0.3214285714285714,0.7857142857142857,0.5357142857142857,,1.9302325581395348,126.0,AllTokensHumanScores2012.csv,"{   ""language"": ""English"",   ""paraphrases"": [     ""We prioritize the stability and security of our long-standing alliances in Europe and Asia."",     ""Maintaining strong relationships with our traditional allies in Europe and Asia is crucial for global security."",     ""We are unwavering in our commitment to safeguarding the security and well-being of our allies in Europe and Asia."",     ""The foundation of global security lies in our enduring partnerships with our traditional allies in Europe and Asia."",     ""We believe that strong and enduring alliances with our traditional allies in Europe and Asia are essential for maintaining peace and stability in the world.""   ] } ",We prioritize the stability and security of our long-standing alliances in Europe and Asia.
25,Maintaining strong relationships with our traditional allies in Europe and Asia is crucial for global security.,0.3214285714285714,0.7857142857142857,0.5357142857142857,,1.9302325581395348,126.0,AllTokensHumanScores2012.csv,"{   ""language"": ""English"",   ""paraphrases"": [     ""We prioritize the stability and security of our long-standing alliances in Europe and Asia."",     ""Maintaining strong relationships with our traditional allies in Europe and Asia is crucial for global security."",     ""We are unwavering in our commitment to safeguarding the security and well-being of our allies in Europe and Asia."",     ""The foundation of global security lies in our enduring partnerships with our traditional allies in Europe and Asia."",     ""We believe that strong and enduring alliances with our traditional allies in Europe and Asia are essential for maintaining peace and stability in the world.""   ] } ",Maintaining strong relationships with our traditional allies in Europe and Asia is crucial for global security.
26,We are unwavering in our commitment to safeguarding the security and well-being of our allies in Europe and Asia.,0.3214285714285714,0.7857142857142857,0.5357142857142857,,1.9302325581395348,126.0,AllTokensHumanScores2012.csv,"{   ""language"": ""English"",   ""paraphrases"": [     ""We prioritize the stability and security of our long-standing alliances in Europe and Asia."",     ""Maintaining strong relationships with our traditional allies in Europe and Asia is crucial for global security."",     ""We are unwavering in our commitment to safeguarding the security and well-being of our allies in Europe and Asia."",     ""The foundation of global security lies in our enduring partnerships with our traditional allies in Europe and Asia."",     ""We believe that strong and enduring alliances with our traditional allies in Europe and Asia are essential for maintaining peace and stability in the world.""   ] } ",We are unwavering in our commitment to safeguarding the security and well-being of our allies in Europe and Asia.
27,The foundation of global security lies in our enduring partnerships with our traditional allies in Europe and Asia.,0.3214285714285714,0.7857142857142857,0.5357142857142857,,1.9302325581395348,126.0,AllTokensHumanScores2012.csv,"{   ""language"": ""English"",   ""paraphrases"": [     ""We prioritize the stability and security of our long-standing alliances in Europe and Asia."",     ""Maintaining strong relationships with our traditional allies in Europe and Asia is crucial for global security."",     ""We are unwavering in our commitment to safeguarding the security and well-being of our allies in Europe and Asia."",     ""The foundation of global security lies in our enduring partnerships with our traditional allies in Europe and Asia."",     ""We believe that strong and enduring alliances with our traditional allies in Europe and Asia are essential for maintaining peace and stability in the world.""   ] } ",The foundation of global security lies in our enduring partnerships with our traditional allies in Europe and Asia.
28,We believe that strong and enduring alliances with our traditional allies in Europe and Asia are essential for maintaining peace and stability in the world.,0.3214285714285714,0.7857142857142857,0.5357142857142857,,1.9302325581395348,126.0,AllTokensHumanScores2012.csv,"{   ""language"": ""English"",   ""paraphrases"": [     ""We prioritize the stability and security of our long-standing alliances in Europe and Asia."",     ""Maintaining strong relationships with our traditional allies in Europe and Asia is crucial for global security."",     ""We are unwavering in our commitment to safeguarding the security and well-being of our allies in Europe and Asia."",     ""The foundation of global security lies in our enduring partnerships with our traditional allies in Europe and Asia."",     ""We believe that strong and enduring alliances with our traditional allies in Europe and Asia are essential for maintaining peace and stability in the world.""   ] } ",We believe that strong and enduring alliances with our traditional allies in Europe and Asia are essential for maintaining peace and stability in the world.
29,"American companies must strive for greater competitiveness on a global scale, and we must be proactive in promoting U.S. products and securing access to foreign markets.",0.8928571428571429,0.5357142857142857,0.6071428571428571,,1.9302325581395348,56.0,AllTokensHumanScores2012.csv,"{   ""language"": ""English"",   ""paraphrases"": [     ""American companies must strive for greater competitiveness on a global scale, and we must be proactive in promoting U.S. products and securing access to foreign markets."",     ""It is imperative for American companies to adopt a robust approach to international competitiveness, actively promoting and securing market access for their products."",     ""To achieve sustained growth, American companies must prioritize competitiveness and actively pursue opportunities to expand their reach and penetrate foreign markets."",     ""To remain at the forefront of global competition, American companies must embrace a forward-looking approach to international expansion, prioritizing market access and fostering innovation."",     ""American companies must prioritize competitiveness and actively seek opportunities to expand their market share and secure access to foreign markets.""   ] } ","American companies must strive for greater competitiveness on a global scale, and we must be proactive in promoting U.S. products and securing access to foreign markets."
30,"It is imperative for American companies to adopt a robust approach to international competitiveness, actively promoting and securing market access for their products.",0.8928571428571429,0.5357142857142857,0.6071428571428571,,1.9302325581395348,56.0,AllTokensHumanScores2012.csv,"{   ""language"": ""English"",   ""paraphrases"": [     ""American companies must strive for greater competitiveness on a global scale, and we must be proactive in promoting U.S. products and securing access to foreign markets."",     ""It is imperative for American companies to adopt a robust approach to international competitiveness, actively promoting and securing market access for their products."",     ""To achieve sustained growth, American companies must prioritize competitiveness and actively pursue opportunities to expand their reach and penetrate foreign markets."",     ""To remain at the forefront of global competition, American companies must embrace a forward-looking approach to international expansion, prioritizing market access and fostering innovation."",     ""American companies must prioritize competitiveness and actively seek opportunities to expand their market share and secure access to foreign markets.""   ] } ","It is imperative for American companies to adopt a robust approach to international competitiveness, actively promoting and securing market access for their products."
31,"To achieve sustained growth, American companies must prioritize competitiveness and actively pursue opportunities to expand their reach and penetrate foreign markets.",0.8928571428571429,0.5357142857142857,0.6071428571428571,,1.9302325581395348,56.0,AllTokensHumanScores2012.csv,"{   ""language"": ""English"",   ""paraphrases"": [     ""American companies must strive for greater competitiveness on a global scale, and we must be proactive in promoting U.S. products and securing access to foreign markets."",     ""It is imperative for American companies to adopt a robust approach to international competitiveness, actively promoting and securing market access for their products."",     ""To achieve sustained growth, American companies must prioritize competitiveness and actively pursue opportunities to expand their reach and penetrate foreign markets."",     ""To remain at the forefront of global competition, American companies must embrace a forward-looking approach to international expansion, prioritizing market access and fostering innovation."",     ""American companies must prioritize competitiveness and actively seek opportunities to expand their market share and secure access to foreign markets.""   ] } ","To achieve sustained growth, American companies must prioritize competitiveness and actively pursue opportunities to expand their reach and penetrate foreign markets."
32,"To remain at the forefront of global competition, American companies must embrace a forward-looking approach to international expansion, prioritizing market access and fostering innovation.",0.8928571428571429,0.5357142857142857,0.6071428571428571,,1.9302325581395348,56.0,AllTokensHumanScores2012.csv,"{   ""language"": ""English"",   ""paraphrases"": [     ""American companies must strive for greater competitiveness on a global scale, and we must be proactive in promoting U.S. products and securing access to foreign markets."",     ""It is imperative for American companies to adopt a robust approach to international competitiveness, actively promoting and securing market access for their products."",     ""To achieve sustained growth, American companies must prioritize competitiveness and actively pursue opportunities to expand their reach and penetrate foreign markets."",     ""To remain at the forefront of global competition, American companies must embrace a forward-looking approach to international expansion, prioritizing market access and fostering innovation."",     ""American companies must prioritize competitiveness and actively seek opportunities to expand their market share and secure access to foreign markets.""   ] } ","To remain at the forefront of global competition, American companies must embrace a forward-looking approach to international expansion, prioritizing market access and fostering innovation."
33,American companies must prioritize competitiveness and actively seek opportunities to expand their market share and secure access to foreign markets.,0.8928571428571429,0.5357142857142857,0.6071428571428571,,1.9302325581395348,56.0,AllTokensHumanScores2012.csv,"{   ""language"": ""English"",   ""paraphrases"": [     ""American companies must strive for greater competitiveness on a global scale, and we must be proactive in promoting U.S. products and securing access to foreign markets."",     ""It is imperative for American companies to adopt a robust approach to international competitiveness, actively promoting and securing market access for their products."",     ""To achieve sustained growth, American companies must prioritize competitiveness and actively pursue opportunities to expand their reach and penetrate foreign markets."",     ""To remain at the forefront of global competition, American companies must embrace a forward-looking approach to international expansion, prioritizing market access and fostering innovation."",     ""American companies must prioritize competitiveness and actively seek opportunities to expand their market share and secure access to foreign markets.""   ] } ",American companies must prioritize competitiveness and actively seek opportunities to expand their market share and secure access to foreign markets.
34,The government's failure to support small businesses has hindered their growth and prevented them from reaching their full potential.,0.6428571428571429,0.3928571428571428,0.6785714285714286,,1.9302325581395348,55.0,AllTokensHumanScores2012.csv,"{   ""language"": ""English"",   ""paragraph"": ""While small businesses have significantly contributed to the nation's economic growth, our government has failed to meet its small business goals year after year and failed to overcome burdensome regulatory, contracting, and capital barriers. This impedes their growth."",   ""paraphrases"": [     ""The government's failure to support small businesses has hindered their growth and prevented them from reaching their full potential."",     ""The government's lack of attention to small businesses has created a significant barrier to their success."",     ""The burdensome regulatory, contracting, and capital barriers faced by small businesses make it difficult for them to compete with larger businesses."",     ""The government's failure to address these barriers has resulted in a missed opportunity for economic growth."",     ""Small businesses are a vital part of the economy, and their growth is essential for the nation's future success.""   ] } ",The government's failure to support small businesses has hindered their growth and prevented them from reaching their full potential.
35,The government's lack of attention to small businesses has created a significant barrier to their success.,0.6428571428571429,0.3928571428571428,0.6785714285714286,,1.9302325581395348,55.0,AllTokensHumanScores2012.csv,"{   ""language"": ""English"",   ""paragraph"": ""While small businesses have significantly contributed to the nation's economic growth, our government has failed to meet its small business goals year after year and failed to overcome burdensome regulatory, contracting, and capital barriers. This impedes their growth."",   ""paraphrases"": [     ""The government's failure to support small businesses has hindered their growth and prevented them from reaching their full potential."",     ""The government's lack of attention to small businesses has created a significant barrier to their success."",     ""The burdensome regulatory, contracting, and capital barriers faced by small businesses make it difficult for them to compete with larger businesses."",     ""The government's failure to address these barriers has resulted in a missed opportunity for economic growth."",     ""Small businesses are a vital part of the economy, and their growth is essential for the nation's future success.""   ] } ",The government's lack of attention to small businesses has created a significant barrier to their success.
36,"The burdensome regulatory, contracting, and capital barriers faced by small businesses make it difficult for them to compete with larger businesses.",0.6428571428571429,0.3928571428571428,0.6785714285714286,,1.9302325581395348,55.0,AllTokensHumanScores2012.csv,"{   ""language"": ""English"",   ""paragraph"": ""While small businesses have significantly contributed to the nation's economic growth, our government has failed to meet its small business goals year after year and failed to overcome burdensome regulatory, contracting, and capital barriers. This impedes their growth."",   ""paraphrases"": [     ""The government's failure to support small businesses has hindered their growth and prevented them from reaching their full potential."",     ""The government's lack of attention to small businesses has created a significant barrier to their success."",     ""The burdensome regulatory, contracting, and capital barriers faced by small businesses make it difficult for them to compete with larger businesses."",     ""The government's failure to address these barriers has resulted in a missed opportunity for economic growth."",     ""Small businesses are a vital part of the economy, and their growth is essential for the nation's future success.""   ] } ","The burdensome regulatory, contracting, and capital barriers faced by small businesses make it difficult for them to compete with larger businesses."
37,The government's failure to address these barriers has resulted in a missed opportunity for economic growth.,0.6428571428571429,0.3928571428571428,0.6785714285714286,,1.9302325581395348,55.0,AllTokensHumanScores2012.csv,"{   ""language"": ""English"",   ""paragraph"": ""While small businesses have significantly contributed to the nation's economic growth, our government has failed to meet its small business goals year after year and failed to overcome burdensome regulatory, contracting, and capital barriers. This impedes their growth."",   ""paraphrases"": [     ""The government's failure to support small businesses has hindered their growth and prevented them from reaching their full potential."",     ""The government's lack of attention to small businesses has created a significant barrier to their success."",     ""The burdensome regulatory, contracting, and capital barriers faced by small businesses make it difficult for them to compete with larger businesses."",     ""The government's failure to address these barriers has resulted in a missed opportunity for economic growth."",     ""Small businesses are a vital part of the economy, and their growth is essential for the nation's future success.""   ] } ",The government's failure to address these barriers has resulted in a missed opportunity for economic growth.
38,"Small businesses are a vital part of the economy, and their growth is essential for the nation's future success.",0.6428571428571429,0.3928571428571428,0.6785714285714286,,1.9302325581395348,55.0,AllTokensHumanScores2012.csv,"{   ""language"": ""English"",   ""paragraph"": ""While small businesses have significantly contributed to the nation's economic growth, our government has failed to meet its small business goals year after year and failed to overcome burdensome regulatory, contracting, and capital barriers. This impedes their growth."",   ""paraphrases"": [     ""The government's failure to support small businesses has hindered their growth and prevented them from reaching their full potential."",     ""The government's lack of attention to small businesses has created a significant barrier to their success."",     ""The burdensome regulatory, contracting, and capital barriers faced by small businesses make it difficult for them to compete with larger businesses."",     ""The government's failure to address these barriers has resulted in a missed opportunity for economic growth."",     ""Small businesses are a vital part of the economy, and their growth is essential for the nation's future success.""   ] } ","Small businesses are a vital part of the economy, and their growth is essential for the nation's future success."
39,We made changes to the law to help entrepreneurs raise money and keep their investors safe. Small businesses can now create more jobs.,0.7857142857142857,0.3571428571428571,0.3928571428571428,,1.9302325581395348,131.0,AllTokensHumanScores2012.csv,"{   ""language"": ""English"",   ""paraphrases"": [     ""We made changes to the law to help entrepreneurs raise money and keep their investors safe. Small businesses can now create more jobs."",     ""We have made it easier for small businesses to get the health insurance they need to protect their workers."",     ""We have helped small businesses provide health insurance to their workers with a tax credit that will help them pay for the cost of coverage."",     ""We have made it easier for small businesses to access capital by making it easier for them to raise money from investors."",     ""We have made it easier for small businesses to create jobs by providing them with the resources they need to grow their businesses.""   ] } ",We made changes to the law to help entrepreneurs raise money and keep their investors safe. Small businesses can now create more jobs.
40,We have made it easier for small businesses to get the health insurance they need to protect their workers.,0.7857142857142857,0.3571428571428571,0.3928571428571428,,1.9302325581395348,131.0,AllTokensHumanScores2012.csv,"{   ""language"": ""English"",   ""paraphrases"": [     ""We made changes to the law to help entrepreneurs raise money and keep their investors safe. Small businesses can now create more jobs."",     ""We have made it easier for small businesses to get the health insurance they need to protect their workers."",     ""We have helped small businesses provide health insurance to their workers with a tax credit that will help them pay for the cost of coverage."",     ""We have made it easier for small businesses to access capital by making it easier for them to raise money from investors."",     ""We have made it easier for small businesses to create jobs by providing them with the resources they need to grow their businesses.""   ] } ",We have made it easier for small businesses to get the health insurance they need to protect their workers.
41,We have helped small businesses provide health insurance to their workers with a tax credit that will help them pay for the cost of coverage.,0.7857142857142857,0.3571428571428571,0.3928571428571428,,1.9302325581395348,131.0,AllTokensHumanScores2012.csv,"{   ""language"": ""English"",   ""paraphrases"": [     ""We made changes to the law to help entrepreneurs raise money and keep their investors safe. Small businesses can now create more jobs."",     ""We have made it easier for small businesses to get the health insurance they need to protect their workers."",     ""We have helped small businesses provide health insurance to their workers with a tax credit that will help them pay for the cost of coverage."",     ""We have made it easier for small businesses to access capital by making it easier for them to raise money from investors."",     ""We have made it easier for small businesses to create jobs by providing them with the resources they need to grow their businesses.""   ] } ",We have helped small businesses provide health insurance to their workers with a tax credit that will help them pay for the cost of coverage.
42,We have made it easier for small businesses to access capital by making it easier for them to raise money from investors.,0.7857142857142857,0.3571428571428571,0.3928571428571428,,1.9302325581395348,131.0,AllTokensHumanScores2012.csv,"{   ""language"": ""English"",   ""paraphrases"": [     ""We made changes to the law to help entrepreneurs raise money and keep their investors safe. Small businesses can now create more jobs."",     ""We have made it easier for small businesses to get the health insurance they need to protect their workers."",     ""We have helped small businesses provide health insurance to their workers with a tax credit that will help them pay for the cost of coverage."",     ""We have made it easier for small businesses to access capital by making it easier for them to raise money from investors."",     ""We have made it easier for small businesses to create jobs by providing them with the resources they need to grow their businesses.""   ] } ",We have made it easier for small businesses to access capital by making it easier for them to raise money from investors.
